,Horse Name,Form,Race,Odds
0,Double Portrait,4,2m5f Chs,16.0
1,Lastin Memories,2,2m5f Nov Hcap Chs,2.88
2,Dr Oakley,4,2m4f Hcap Hrd,2.34
3,Tilsworth Rose,5,6f Class Stks,5.8
4,Strange Notions,4,2m Mdn Hrd,2.52
5,First Account,2,3m Nov Hrd,1.97
6,Putdecashonthedash,4,3m1f Nov Hcap Chs,4.9
7,Charlie Arthur,3,1m Hcap,2.98
8,Getaway Queen,6,2m Hcap Hrd,7.2
9,Kitty Fisher,3,2m4f Hcap Chs,16.0
10,Midnight Midge,2,2m5f Hcap Hrd,7.2
11,Zylan,3,5f Hcap,3.5
12,Eklat De Rire,2,2m7f Mdn Hrd,2.48
13,Cracking Destiny,2,2m1f Nov Hrd,2.46
14,Aubusson,4,3m1f Hcap Chs,26.0
15,Potenza,2,1m4f Hcap,5.7
16,Dark Heart,3,1m4f Nov Stks,1.53
17,Bay Ambition,3,2m7f Hcap Hrd,6.2
18,Mah Mate Bob,2,2m Hcap Chs,4.0
19,Time To Tinker,2,1m7f NHF,2.56
20,Comeatchoo,4,5f App Hcap,4.4
21,Oscar Thyne,4,2m INHF,6.4
22,Honda Fifty,4,2m1f NHF,2.16
23,Tathmeen,3,5f Hcap,6.0
24,I Know How,4,6f Hcap,4.3
25,Hunters Step,3,1m Hcap,4.3
26,Betty Grable,4,1m Hcap,5.8
27,Gweedore,5,7f Hcap,14.0
28,Jeffrey Harris,2,5f Hcap,4.5
29,Carvelas,5,1m2f Stks,4.6
30,Legends Ryde,3,2m4f Nov Hrd,1.13
31,Scherzo,2,1m2f Mdn Stks,2.28
